timestamp,event_type_id,event_type_name,arb_count,daily_arb_count,weekly_arb_count,interval_seconds
2026-04-18T18:05:38.934974+00:00,4,Unknown,1,19,19,20
2026-04-18T18:05:41.189417+00:00,2,Tennis,0,14,14,25
2026-04-18T18:06:00.698505+00:00,4,Unknown,0,19,19,20
2026-04-18T18:06:06.355004+00:00,2,Tennis,0,14,14,25
2026-04-18T18:06:22.478819+00:00,4,Unknown,0,19,19,20
2026-04-18T18:06:31.502377+00:00,2,Tennis,0,14,14,25
2026-04-18T18:06:44.219239+00:00,4,Unknown,0,19,19,20
2026-04-18T18:06:56.659818+00:00,2,Tennis,0,14,14,25
2026-04-18T18:07:06.009024+00:00,4,Unknown,0,19,19,20
2026-04-18T18:07:21.828530+00:00,2,Tennis,0,14,14,25
2026-04-18T18:07:27.859715+00:00,4,Unknown,0,19,19,20
2026-04-18T18:07:47.012395+00:00,2,Tennis,0,14,14,25
2026-04-18T18:07:50.017907+00:00,4,Unknown,0,19,19,20
2026-04-18T18:08:05.270419+00:00,1,Soccer,0,0,0,250
2026-04-18T18:08:05.347117+00:00,3,Cricket,0,0,0,250
2026-04-18T18:08:05.812423+00:00,5,Unknown,0,0,0,250
2026-04-18T18:08:05.963687+00:00,6,Unknown,0,0,0,250
2026-04-18T18:08:06.045420+00:00,7,Unknown,0,0,0,250
2026-04-18T18:08:06.116590+00:00,8,Unknown,0,0,0,250
2026-04-18T18:08:06.190968+00:00,10,Unknown,0,0,0,250
2026-04-18T18:08:06.268688+00:00,11,Unknown,0,0,0,250
2026-04-18T18:08:11.731118+00:00,4,Unknown,0,19,19,20
2026-04-18T18:08:12.884396+00:00,2,Tennis,0,14,14,25
2026-04-18T18:08:33.488325+00:00,4,Unknown,0,19,19,20
2026-04-18T18:08:38.050335+00:00,2,Tennis,0,14,14,25
2026-04-18T18:08:55.216252+00:00,4,Unknown,0,19,19,20
2026-04-18T18:09:03.201009+00:00,2,Tennis,0,14,14,25
2026-04-18T18:09:17.057122+00:00,4,Unknown,0,19,19,20
2026-04-18T18:09:28.349429+00:00,2,Tennis,0,14,14,25
2026-04-18T18:09:40.444787+00:00,4,Unknown,1,20,20,20
2026-04-18T18:09:53.490513+00:00,2,Tennis,0,14,14,25
2026-04-18T18:10:02.376683+00:00,4,Unknown,0,20,20,20
2026-04-18T18:10:18.650682+00:00,2,Tennis,0,14,14,25
2026-04-18T18:10:24.373212+00:00,4,Unknown,0,20,20,20
2026-04-18T18:10:43.800441+00:00,2,Tennis,0,14,14,25
2026-04-18T18:10:46.621270+00:00,4,Unknown,0,20,20,20
2026-04-18T18:11:08.421093+00:00,4,Unknown,0,20,20,20
2026-04-18T18:11:09.580763+00:00,2,Tennis,0,14,14,25
2026-04-18T18:11:30.178878+00:00,4,Unknown,0,20,20,20
2026-04-18T18:11:34.734373+00:00,2,Tennis,0,14,14,25
2026-04-18T18:11:51.850065+00:00,4,Unknown,0,20,20,20
2026-04-18T18:11:59.889160+00:00,2,Tennis,0,14,14,25
2026-04-18T18:12:13.646152+00:00,4,Unknown,0,20,20,20
2026-04-18T18:12:18.159934+00:00,1,Soccer,0,0,0,250
2026-04-18T18:12:18.234893+00:00,3,Cricket,0,0,0,250
2026-04-18T18:12:18.674476+00:00,5,Unknown,0,0,0,250
2026-04-18T18:12:18.837524+00:00,6,Unknown,0,0,0,250
2026-04-18T18:12:18.918489+00:00,7,Unknown,0,0,0,250
2026-04-18T18:12:19.078507+00:00,8,Unknown,0,0,0,250
